Data Source,World Development Indicators,Access to electricity, total (% of total population);;;;
Last Updated Date,2024-10-24,;;;;
;;;;
;;;;
;Kenya;Madagascar;Tanzania;Uganda
2000;15.2;12.6;8.7;7.4
2001;17;14.8;9.7;8.6
2002;18.9;14;10.7;7.8
2003;16;20.3;11.1;10.5
2004;22.6;15.3;11.4;11.6
2005;24.5;16;13.8;8.9
2006;26.4;16.8;14.9;9
2007;28.3;17.5;15.9;14.8
2008;30.3;18.3;11.5;15.9
2009;23;17.4;11.2;10
2010;19.2;12.3;14.8;12.1
2011;36.2;14.3;14.2;14.6
2012;38.1;18.7;15.3;20.5
2013;40.1;12.9;16.4;13.9
2014;36;23;23.5;20.4
2015;41.6;23.8;26.2;18.5
2016;53.1;22.9;32.8;26.7
2017;55.8;24.1;32.1;32.4
2018;61.2;36.5;34.9;41.9
2019;69.7;31;37.7;41.3
2020;71.5;32;39.9;42.1
2021;76.5;35.1;42.7;45.2
2022;76;36.1;45.8;47.1
